2025-05-23 07:34:18.055 [info] Starting Python Locator /root/.cursor-server/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2025-05-23 07:34:18.062 [info] Discovered env: /bin/python3
2025-05-23 07:34:18.076 [info] Discovered env: /usr/bin/python3
2025-05-23 07:34:18.076 [info] Locator Conda took 126.067353ms
2025-05-23 07:34:18.076 [info] Locator Homebrew took 82.125µs
2025-05-23 07:34:18.076 [info] Locator LinuxGlobal took 316.302631ms
2025-05-23 07:34:18.076 [info] Locator PipEnv took 28.457µs
2025-05-23 07:34:18.076 [info] Locator Poetry took 177.057µs
2025-05-23 07:34:18.076 [info] Locator PyEnv took 4.397212ms
2025-05-23 07:34:18.076 [info] Locator Venv took 21.456µs
2025-05-23 07:34:18.076 [info] Locator VirtualEnv took 6.481758ms
2025-05-23 07:34:18.076 [info] Locator VirtualEnvWrapper took 10.295419ms
2025-05-23 07:34:18.076 [info] Locator GlobalVirtualEnvs took 237.554µs
2025-05-23 07:34:18.076 [info] Locator Locators took 328.630989ms
2025-05-23 07:34:18.076 [info] Locator Path took 512.197037ms
2025-05-23 07:34:18.076 [info] Locator Workspaces took 285.363µs
2025-05-23 07:34:18.077 [info] Refresh completed in 512ms
